Sample ID	Description	ChIp Ab	TREATMENT
S1	Control-H3K27me3-R1	H3K27me3	CONTROL
S2	TNF-HG-H3K27me3-R1	H3K27me3	TNF+HG
S3	TNF-HG-GSK126-H3K27me3-R1	H3K27me3	GSK-126
S4	TNF-HG-T5224-H3K27me3-R1	H3K27me3	T-5224
S5	Control-FOS-R1	FOS	CONTROL
S6	TNF-HG-FOS-R1	FOS	TNF+HG
S7	TNF-HG-GSK126-FOS-R1	FOS	GSK-126
S8	TNF-HG-T5224-FOS-R1	FOS	T-5224
S9	Control-H3K27me3-R2	H3K27me3	CONTROL
S10	TNF-HG-H3K27me3-R2	H3K27me3	TNF+HG
S11	TNF-HG-GSK126-H3K27me3-R2	H3K27me3	GSK-126
S12	TNF-HG-T5224-H3K27me3-R2	H3K27me3	T-5224
S13	Control-FOS-R2	FOS	CONTROL
S14	TNF-HG-FOS-R2	FOS	TNF+HG
S15	TNF-HG-GSK126-FOS-R2	FOS	GSK-126
S16	TNF-HG-T5224-FOS-R2	FOS	T-5224
S17	Control-H3K27me3-R3	H3K27me3	CONTROL
S18	TNF-HG-H3K27me3-R3	H3K27me3	TNF+HG
S19	TNF-HG-GSK126-H3K27me3-R3	H3K27me3	GSK-126
S20	TNF-HG-T5224-H3K27me3-R3	H3K27me3	T-5224
S21	Control-FOS-R3	FOS	CONTROL
S22	TNF-HG-FOS-R3	FOS	TNF+HG
S23	TNF-HG-T5224-FOS-R3	FOS	T-5224
S24	Control-Input	INPUT	CONTROL
S25	TNF-HG-Input	INPUT	TNF+HG
S26	TNF-HG-GSK126-Input	INPUT	GSK-126
S28	TNF-HG-T-5224-Input	INPUT	T-5224
